timestamp_actual,operation,operationCount
2015-09-28 19:53:20.000,scroll_down,264
2015-09-28 22:40:00.000,target_clicked,3
2015-09-28 22:40:00.000,scroll_down,1254
2015-09-28 22:40:00.000,scroll_up,90
2015-09-29 04:13:20.000,scroll_down,7
2015-09-29 04:13:20.000,scroll_up,1
2015-09-30 02:26:40.000,scroll_up,148
2015-09-30 02:26:40.000,target_clicked,1
2015-09-30 02:26:40.000,scroll_down,1567
2015-09-30 05:13:20.000,select,1
2015-09-30 05:13:20.000,scroll_up,233
2015-09-30 05:13:20.000,scroll_down,796
2015-09-30 05:13:20.000,target_clicked,5
2015-09-30 08:00:00.000,scroll_down,64
2015-09-30 08:00:00.000,scroll_up,11
2015-09-30 16:20:00.000,scroll_down,594
2015-09-30 16:20:00.000,target_clicked,1
2015-09-30 16:20:00.000,scroll_up,44
2015-09-30 19:06:40.000,scroll_down,5677
2015-09-30 19:06:40.000,scroll_up,947
2015-09-30 19:06:40.000,target_clicked,13
2015-09-30 21:53:20.000,scroll_up,240
2015-09-30 21:53:20.000,target_clicked,7
2015-09-30 21:53:20.000,scroll_down,1363
2015-10-01 03:26:40.000,target_clicked,9
2015-10-01 03:26:40.000,select,5
2015-10-01 03:26:40.000,scroll_up,30
2015-10-01 03:26:40.000,scroll_down,152
2015-10-01 06:13:20.000,scroll_down,57
2015-10-01 06:13:20.000,scroll_up,11
2015-10-01 17:20:00.000,scroll_up,80
2015-10-01 17:20:00.000,target_clicked,2
2015-10-01 17:20:00.000,scroll_down,536
2015-10-01 20:06:40.000,target_clicked,6
2015-10-01 20:06:40.000,scroll_up,159
2015-10-01 20:06:40.000,select,1
2015-10-01 20:06:40.000,scroll_down,561
2015-10-01 22:53:20.000,scroll_up,455
2015-10-01 22:53:20.000,scroll_down,1543
2015-10-01 22:53:20.000,target_clicked,3
2015-10-02 01:40:00.000,scroll_up,50
2015-10-02 01:40:00.000,scroll_down,1470
2015-10-02 18:20:00.000,scroll_down,364
2015-10-02 18:20:00.000,target_clicked,5
2015-10-02 18:20:00.000,select,3
2015-10-02 18:20:00.000,scroll_up,284
2015-10-02 21:06:40.000,target_clicked,4
2015-10-02 21:06:40.000,select,1
2015-10-02 21:06:40.000,scroll_up,519
